id_usuario,tipo,nombre_empresa,documento_nit,telefono,correo,direccion
1,Cliente,Importadora Del Valle,865737657-3,Sin teléfono,importadorad@yahoo.com,"Calle 76 #55-5, Medellín"
2,Proveedor,Mercantil Del Sur & Cía,950658074-3,3198038374.0,mercantildel@hotmail.com,"Diagonal 76 #36-1, Cali"
3,Proveedor,Inversiones Omega Sa,857797847-5,3012556017.0,inversioneso@outlook.com,"Calle 46 #45-78, Cartagena"
4,Proveedor,Red De Proveedores & Cía,901612049-1,3165918715.0,Sin correo,"Avenida 74 #25-91, Bogotá"
5,Proveedor,Mercantil Del Sur Sa,862489327-1,3145663623.0,mercantildel@outlook.com,"Avenida 21 #48-46, Barranquilla"
6,Proveedor,Suministros Globales & Cía,943382080-3,3108755439.0,suministrosg@outlook.com,"Avenida 119 #82-89, Cúcuta"
7,Proveedor,Inversiones Omega,808616842-5,3145491946.0,inversioneso@gmail.com,"Carrera 117 #73-92, Pereira"
8,Cliente,Corporación Integral Ltda,838351800-4,3105137722.0,corporacióni@yahoo.com,"Transversal 34 #96-75, Manizales"
9,Proveedor,Distribuidora Latina Sa,837133144-8,3152525206.0,distribuidor@gmail.com,"Calle 20 #81-21, Manizales"
11,Proveedor,Techsupply Sas Ltda,993835111-4,3163997281.0,techsupplysa@yahoo.com,"Calle 112 #81-39, Cúcuta"
12,Proveedor,Proveedores Unidos Sa,944788454-8,3501009594.0,proveedoresu@yahoo.com,"Avenida 63 #3-15, Pereira"
14,Cliente,Cadena De Valor Sas Sas,941646352-9,3144553384.0,cadenadevalo@yahoo.com,"Carrera 92 #40-52, Pereira"
15,Proveedor,Servicios Y Bienes Sa Ltda,866546657-3,3016672134.0,Sin correo,"Transversal 71 #30-76, Barranquilla"
17,Cliente,Mercantil Del Sur Ltda,851112773-1,3018231838.0,mercantildel@empresa.co,"Diagonal 53 #60-94, Medellín"
18,Cliente,Importadora Del Valle,995478346-5,3202833230.0,importadorad@hotmail.com,"Carrera 25 #69-58, Cali"
19,Proveedor,Abastecedores Nacionales Ltda,Sin documento,3202642635.0,abastecedore@gmail.com,"Transversal 108 #2-12, Barranquilla"
20,Proveedor,Corporación Integral Ltda,907653432-0,3107358113.0,corporacióni@gmail.com,"Diagonal 34 #59-37, Manizales"
21,Cliente,Cadena De Valor Sas Corp,841552957-3,Sin teléfono,cadenadevalo@gmail.com,"Transversal 95 #70-8, Pereira"
22,Cliente,Nexo Comercial Ltda,815268494-8,3014117625.0,nexocomercia@gmail.com,"Transversal 9 #87-31, Manizales"
23,Proveedor,Nexo Comercial & Cía,966263958-1,3149770838.0,nexocomercia@empresa.co,"Avenida 27 #86-92, Pereira"
24,Cliente,Distribuidora Latina Sas,922735287-5,3502217071.0,distribuidor@gmail.com,"Diagonal 80 #73-13, Bogotá"
25,Proveedor,Servicios Y Bienes Sa Sa,893686345-1,3505098412.0,serviciosybi@empresa.co,"Avenida 21 #57-70, Cartagena"
26,Cliente,Servicios Y Bienes Sa,Sin documento,3503253031.0,serviciosybi@empresa.co,"Calle 114 #14-96, Cúcuta"
27,Proveedor,Grupo Comercial Xyz & Cía,992632554-5,3115428914.0,grupocomerci@yahoo.com,"Diagonal 33 #7-12, Manizales"
28,Cliente,Comercial Del Norte,835116634-4,3108412769.0,comercialdel@yahoo.com,"Diagonal 72 #2-15, Bogotá"
29,Proveedor,Proveedores Unidos & Cía,899110661-9,3163484601.0,proveedoresu@outlook.com,"Carrera 6 #40-47, Medellín"
30,Proveedor,Logística Express Corp,979028575-1,3137817881.0,logísticaexp@yahoo.com,"Carrera 119 #31-21, Cali"
31,Cliente,Distribuciones Andinas Sas,Sin documento,3123670896.0,distribucion@gmail.com,"Diagonal 112 #5-61, Barranquilla"
32,Cliente,Red De Proveedores Sa,861094699-3,3004240180.0,reddeproveed@outlook.com,"Avenida 36 #9-99, Cartagena"
33,Cliente,Servicios Y Bienes Sa Ltda,807408963-1,3505382463.0,serviciosybi@hotmail.com,"Transversal 34 #5-14, Ibagué"
34,Proveedor,Inversiones Omega Ltda,903400110-9,3115273534.0,inversioneso@gmail.com,"Diagonal 1 #67-69, Barranquilla"
35,Cliente,Suministros Globales Corp,967277006-5,3183090865.0,suministrosg@empresa.co,"Transversal 40 #86-53, Pereira"
36,Proveedor,Grupo Comercial Xyz & Cía,851496683-6,3187361002.0,grupocomerci@hotmail.com,"Transversal 73 #39-52, Cúcuta"
37,Proveedor,Grupo Comercial Xyz Sa,915397220-9,3176406444.0,grupocomerci@outlook.com,"Diagonal 57 #87-28, Cúcuta"
38,Proveedor,Techsupply Sas Corp,876178333-8,3186623525.0,techsupplysa@gmail.com,"Carrera 87 #40-29, Barranquilla"
39,Proveedor,Mercantil Del Sur Ltda,922249846-6,3504262081.0,mercantildel@outlook.com,"Diagonal 52 #32-19, Medellín"
40,Proveedor,Importadora Del Valle Ltda,847214220-8,3151842524.0,importadorad@yahoo.com,"Carrera 118 #16-59, Cali"
41,Cliente,Servicios Y Bienes Sa & Cía,918802399-9,3219468772.0,serviciosybi@outlook.com,"Transversal 58 #21-96, Bucaramanga"
42,Cliente,Mercantil Del Sur Corp,939935353-7,3185013879.0,mercantildel@empresa.co,Sin dirección
43,Proveedor,Inversiones Omega & Cía,837144504-2,3117426265.0,inversioneso@hotmail.com,"Carrera 9 #54-53, Pereira"
44,Proveedor,Almacenes Progreso,912781417-6,3501327691.0,almacenespro@yahoo.com,"Diagonal 62 #1-46, Cartagena"
45,Proveedor,Almacenes Progreso & Cía,931058103-3,3128312114.0,almacenespro@outlook.com,"Calle 50 #44-86, Manizales"
46,Proveedor,Red De Proveedores Sas,905769006-9,3171454696.0,reddeproveed@gmail.com,Sin dirección
47,Cliente,Inversiones Omega Sas,887737003-5,3207360682.0,inversioneso@empresa.co,"Diagonal 33 #11-61, Medellín"
48,Proveedor,Comercial Del Norte Sa,974521727-1,3201675419.0,comercialdel@gmail.com,"Carrera 26 #3-80, Cali"
49,Proveedor,Corporación Integral Corp,951389430-3,3155299055.0,corporacióni@empresa.co,"Carrera 78 #78-96, Bogotá"
50,Proveedor,Techsupply Sas Sa,955339501-0,3506233774.0,techsupplysa@yahoo.com,"Diagonal 51 #92-26, Bogotá"
51,Cliente,Mercantil Del Sur,983679387-9,Sin teléfono,mercantildel@yahoo.com,"Calle 45 #69-55, Pereira"
52,Cliente,Inversiones Omega,931587518-1,3147076506.0,inversioneso@outlook.com,"Carrera 56 #23-94, Cúcuta"
53,Cliente,Abastecedores Nacionales & Cía,924788603-6,3215502929.0,abastecedore@empresa.co,"Carrera 107 #12-36, Bucaramanga"
54,Cliente,Red De Proveedores & Cía,890300781-0,3156452832.0,reddeproveed@hotmail.com,Sin dirección
55,Cliente,Globaltrade Colombia Corp,949194018-0,3164205394.0,globaltradec@gmail.com,"Carrera 93 #53-63, Cúcuta"
56,Cliente,Corporación Integral Corp,920305938-0,3015936453.0,corporacióni@hotmail.com,"Diagonal 89 #32-40, Ibagué"
57,Cliente,Cadena De Valor Sas & Cía,914220309-8,3136902401.0,cadenadevalo@outlook.com,"Avenida 40 #33-30, Bogotá"
58,Proveedor,Inversiones Omega,851416388-3,3199123504.0,inversioneso@empresa.co,"Transversal 98 #68-77, Cartagena"
59,Proveedor,Logística Express Sa,896873274-2,3121237370.0,logísticaexp@yahoo.com,Sin dirección
60,Cliente,Proveedores Unidos Corp,827538160-0,3175770422.0,proveedoresu@outlook.com,Sin dirección
61,Proveedor,Corporación Integral,907564084-7,3011899411.0,corporacióni@hotmail.com,"Carrera 104 #73-39, Bogotá"
62,Cliente,Importadora Del Valle & Cía,962757154-9,3204786401.0,importadorad@yahoo.com,"Diagonal 58 #57-39, Ibagué"
63,Proveedor,Grupo Comercial Xyz & Cía,Sin documento,3204486102.0,grupocomerci@hotmail.com,"Avenida 85 #11-21, Barranquilla"
64,Proveedor,Suministros Globales Sas,909660600-7,3198883823.0,suministrosg@empresa.co,"Calle 30 #37-91, Cartagena"
65,Proveedor,Red De Proveedores,871015841-9,3184318855.0,reddeproveed@outlook.com,"Calle 70 #29-83, Cali"
66,Proveedor,Proveedores Unidos,844539558-4,3175842082.0,proveedoresu@outlook.com,"Calle 60 #89-39, Manizales"
67,Cliente,Servicios Y Bienes Sa & Cía,917510001-1,3171668752.0,serviciosybi@outlook.com,"Avenida 78 #33-4, Bogotá"
68,Proveedor,Nexo Comercial & Cía,Sin documento,3171674975.0,nexocomercia@hotmail.com,"Diagonal 67 #84-57, Cartagena"
