id_usuario,tipo,nombre_empresa,documento_nit,telefono,correo,direccion
1,Cliente,Importadora del Valle,865737657-3,,importadorad@yahoo.com,"Calle 76 #55-5, Medellín"
2,Proveedor,Mercantil del Sur & Cía,950658074-3,3198038374,mercantildel@hotmail.com,"Diagonal 76 #36-1, Cali"
3,Proveedor,Inversiones Omega SA,857797847-5,3012556017,inversioneso@outlook.com,"Calle 46 #45-78, Cartagena"
4,Proveedor,Red de Proveedores & Cía,901612049-1,3165918715,,"Avenida 74 #25-91, Bogotá"
5,Proveedor,Mercantil del Sur SA,862489327-1,3145663623,mercantildel@outlook.com,"Avenida 21 #48-46, Barranquilla"
6,Proveedor,  SUMINISTROS GLOBALES & CÍA  ,943382080-3,3108755439,suministrosg@outlook.com,"Avenida 119 #82-89, Cúcuta"
7,Proveedor,  INVERSIONES OMEGA  ,808616842-5,3145491946,inversioneso@gmail.com,"Carrera 117 #73-92, Pereira"
8,Cliente,Corporación Integral Ltda,838351800-4,3105137722,corporacióni@yahoo.com,"Transversal 34 #96-75, Manizales"
9,Proveedor,Distribuidora Latina SA,837133144-8,3152525206,distribuidor@gmail.com,"Calle 20 #81-21, Manizales"
10,,Distribuidora Latina Ltda,942033050-4,3161192619,distribuidor@gmail.com,"Transversal 97 #35-99, Pereira"
11,Proveedor,TechSupply SAS Ltda,993835111-4,3163997281,techsupplysa@yahoo.com,"Calle 112 #81-39, Cúcuta"
12,Proveedor,Proveedores Unidos SA,944788454-8,3501009594,proveedoresu@yahoo.com,"Avenida 63 #3-15, Pereira"
13,,Grupo Comercial XYZ SAS,864658474-9,3012437026,grupocomerci@outlook.com,"Calle 98 #69-99, Cali"
14,Cliente,Cadena de Valor SAS SAS,941646352-9,3144553384,cadenadevalo@yahoo.com,"Carrera 92 #40-52, Pereira"
15,Proveedor,Servicios y Bienes SA Ltda,866546657-3,3016672134,,"Transversal 71 #30-76, Barranquilla"
16,,Comercial del Norte SAS,808432351-5,3019626108,comercialdel@hotmail.com,"Avenida 86 #63-28, Cúcuta"
17,Cliente,Mercantil del Sur Ltda,851112773-1,3018231838,mercantildel@empresa.co,"Diagonal 53 #60-94, Medellín"
18,Cliente,Importadora del Valle,995478346-5,3202833230,importadorad@hotmail.com,"Carrera 25 #69-58, Cali"
19,Proveedor,Abastecedores Nacionales Ltda,,3202642635,abastecedore@gmail.com,"Transversal 108 #2-12, Barranquilla"
20,Proveedor,Corporación Integral Ltda,907653432-0,3107358113,corporacióni@gmail.com,"Diagonal 34 #59-37, Manizales"
21,Cliente,Cadena de Valor SAS Corp,841552957-3,,cadenadevalo@gmail.com,"Transversal 95 #70-8, Pereira"
22,cliente,Nexo Comercial Ltda,815268494-8,3014117625,nexocomercia@gmail.com,"Transversal 9 #87-31, Manizales"
23,Proveedor,  NEXO COMERCIAL & CÍA  ,966263958-1,3149770838,nexocomercia@empresa.co,"Avenida 27 #86-92, Pereira"
24,Cliente,Distribuidora Latina SAS,922735287-5,3502217071,distribuidor@gmail.com,"Diagonal 80 #73-13, Bogotá"
25,Proveedor,Servicios y Bienes SA SA,893686345-1,3505098412,serviciosybi@empresa.co,"Avenida 21 #57-70, Cartagena"
26,Cliente,Servicios y Bienes SA,,3503253031,serviciosybi@empresa.co,"Calle 114 #14-96, Cúcuta"
27,Proveedor,Grupo Comercial XYZ & Cía,992632554-5,3115428914,grupocomerci@yahoo.com,"Diagonal 33 #7-12, Manizales"
28,Cliente,Comercial del Norte,835116634-4,3108412769,comercialdel@yahoo.com,"Diagonal 72 #2-15, Bogotá"
29,Proveedor,Proveedores Unidos & Cía,899110661-9,3163484601,proveedoresu@outlook.com,"Carrera 6 #40-47, Medellín"
30,Proveedor,Logística Express Corp,979028575-1,3137817881,logísticaexp@yahoo.com,"Carrera 119 #31-21, Cali"
31,Cliente,Distribuciones Andinas SAS,,3123670896,distribucion@gmail.com,"Diagonal 112 #5-61, Barranquilla"
32,Cliente,Red de Proveedores SA,861094699-3,3004240180,reddeproveed@outlook.com,"Avenida 36 #9-99, Cartagena"
33,Cliente,Servicios y Bienes SA Ltda,807408963-1,3505382463,serviciosybi@hotmail.com,"Transversal 34 #5-14, Ibagué"
34,Proveedor,Inversiones Omega Ltda,903400110-9,3115273534,inversioneso@gmail.com,"Diagonal 1 #67-69, Barranquilla"
35,Cliente,Suministros Globales Corp,967277006-5,3183090865,suministrosg@empresa.co,"Transversal 40 #86-53, Pereira"
36,Proveedor,Grupo Comercial XYZ & Cía,851496683-6,3187361002,grupocomerci@hotmail.com,"Transversal 73 #39-52, Cúcuta"
37,Proveedor,Grupo Comercial XYZ SA,915397220-9,3176406444,grupocomerci@outlook.com,"Diagonal 57 #87-28, Cúcuta"
38,proveedor,TechSupply SAS Corp,876178333-8,3186623525,techsupplysa@gmail.com,"Carrera 87 #40-29, Barranquilla"
39,Proveedor,Mercantil del Sur Ltda,922249846-6,3504262081,mercantildel@outlook.com,"Diagonal 52 #32-19, Medellín"
40,Proveedor,Importadora del Valle Ltda,847214220-8,3151842524,importadorad@yahoo.com,"Carrera 118 #16-59, Cali"
41,Cliente,Servicios y Bienes SA & Cía,918802399-9,3219468772,serviciosybi@outlook.com,"Transversal 58 #21-96, Bucaramanga"
42,Cliente,Mercantil del Sur Corp,939935353-7,3185013879,mercantildel@empresa.co,
43,Proveedor,Inversiones Omega & Cía,837144504-2,3117426265,inversioneso@hotmail.com,"Carrera 9 #54-53, Pereira"
44,Proveedor,Almacenes Progreso,912781417-6,3501327691,almacenespro@yahoo.com,"Diagonal 62 #1-46, Cartagena"
45,Proveedor,Almacenes Progreso & Cía,931058103-3,3128312114,almacenespro@outlook.com,"Calle 50 #44-86, Manizales"
46,Proveedor,Red de Proveedores SAS,905769006-9,3171454696,reddeproveed@gmail.com,
47,Cliente,Inversiones Omega SAS,887737003-5,3207360682,inversioneso@empresa.co,"Diagonal 33 #11-61, Medellín"
48,Proveedor,  COMERCIAL DEL NORTE SA  ,974521727-1,3201675419,comercialdel@gmail.com,"Carrera 26 #3-80, Cali"
49,Proveedor,Corporación Integral Corp,951389430-3,3155299055,corporacióni@empresa.co,"Carrera 78 #78-96, Bogotá"
50,Proveedor,TechSupply SAS SA,955339501-0,3506233774,techsupplysa@yahoo.com,"Diagonal 51 #92-26, Bogotá"
51,Cliente,Mercantil del Sur,983679387-9,,mercantildel@yahoo.com,"Calle 45 #69-55, Pereira"
52,Cliente,Inversiones Omega,931587518-1,3147076506,inversioneso@outlook.com,"Carrera 56 #23-94, Cúcuta"
53,Cliente,  ABASTECEDORES NACIONALES & CÍA  ,924788603-6,3215502929,abastecedore@empresa.co,"Carrera 107 #12-36, Bucaramanga"
54,Cliente,Red de Proveedores & Cía,890300781-0,3156452832,reddeproveed@hotmail.com,
55,Cliente,GlobalTrade Colombia Corp,949194018-0,3164205394,globaltradec@gmail.com,"Carrera 93 #53-63, Cúcuta"
56,Cliente,Corporación Integral Corp,920305938-0,3015936453,corporacióni@hotmail.com,"Diagonal 89 #32-40, Ibagué"
57,Cliente,Cadena de Valor SAS & Cía,914220309-8,3136902401,cadenadevalo@outlook.com,"Avenida 40 #33-30, Bogotá"
58,Proveedor,Inversiones Omega,851416388-3,3199123504,inversioneso@empresa.co,"Transversal 98 #68-77, Cartagena"
59,Proveedor,Logística Express SA,896873274-2,3121237370,logísticaexp@yahoo.com,
60,Cliente,Proveedores Unidos Corp,827538160-0,3175770422,proveedoresu@outlook.com,
61,Proveedor,Corporación Integral,907564084-7,3011899411,corporacióni@hotmail.com,"Carrera 104 #73-39, Bogotá"
62,Cliente,Importadora del Valle & Cía,962757154-9,3204786401,importadorad@yahoo.com,"Diagonal 58 #57-39, Ibagué"
63,Proveedor,Grupo Comercial XYZ & Cía,,3204486102,grupocomerci@hotmail.com,"Avenida 85 #11-21, Barranquilla"
64,Proveedor,Suministros Globales SAS,909660600-7,3198883823,suministrosg@empresa.co,"Calle 30 #37-91, Cartagena"
65,Proveedor,Red de Proveedores,871015841-9,3184318855,reddeproveed@outlook.com,"Calle 70 #29-83, Cali"
66,Proveedor,Proveedores Unidos,844539558-4,3175842082,proveedoresu@outlook.com,"Calle 60 #89-39, Manizales"
67,Cliente,  SERVICIOS Y BIENES SA & CÍA  ,917510001-1,3171668752,serviciosybi@outlook.com,"Avenida 78 #33-4, Bogotá"
68,Proveedor,Nexo Comercial & Cía,,3171674975,nexocomercia@hotmail.com,"Diagonal 67 #84-57, Cartagena"
69,Cliente,Nexo Comercial Ltda,824492696-7,3137850944,nexocomercia@empresa.co,"Avenida 86 #14-21, Pereira"
70,Cliente,Corporación Integral SA,947665435-0,3152477398,corporacióni@empresa.co,"Avenida 42 #15-99, Manizales"
71,Cliente,Distribuciones Andinas Corp,910930301-0,3119697969,distribucion@empresa.co,"Transversal 97 #64-81, Bucaramanga"
72,Proveedor,Logística Express SA,877317235-7,3509132114,logísticaexp@gmail.com,"Calle 81 #78-31, Cali"
73,Cliente,Distribuciones Andinas & Cía,825020655-3,3212903561,distribucion@outlook.com,"Calle 83 #20-64, Cartagena"
74,Cliente,Abastecedores Nacionales Ltda,926760532-3,3153426689,abastecedore@outlook.com,"Carrera 118 #77-66, Cali"
75,Cliente,Abastecedores Nacionales Ltda,936294795-4,3211043037,abastecedore@empresa.co,"Avenida 108 #76-75, Bucaramanga"
76,Cliente,Red de Proveedores & Cía,892643503-5,3167328534,reddeproveed@outlook.com,"Avenida 112 #25-90, Barranquilla"
77,Proveedor,Mercantil del Sur Ltda,885409807-7,3197395997,mercantildel@outlook.com,"Carrera 64 #5-17, Cúcuta"
78,Cliente,Inversiones Omega,826766155-8,3508665981,inversioneso@gmail.com,"Carrera 53 #84-20, Bogotá"
79,Cliente,Abastecedores Nacionales SA,974439199-1,3216512415,abastecedore@yahoo.com,"Diagonal 41 #81-92, Bucaramanga"
